Comment,Designator,Footprint,LCSC
100 @ 100 MHz,FB1,L_0805_2012Metric,C1015
10u,"C1,C2",C_0402_1005Metric,C15525
QWIIC,J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160404
2k2,"R1,R2",R_0402_1005Metric,C25879
500mA,F1,Fuse_0603_1608Metric,C261937
GH39FKSW,"U10,U11,U12,U13,U14,U15,U16,U17,U18,U2,U3,U4,U5,U6,U7,U8,U9",SOT-23,C266230
AMS1117-3.3,LDO1,SOT-223-3_TabPin2,C6186
B5819W,D1,D_SOD-123,C8598
CD74HC4067SM,AM0,SSOP-24_5.3x8.2mm_P0.65mm,
CD74HC4067SM,AM1,SSOP-24_5.3x8.2mm_P0.65mm,
