Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AM0,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,273.84375,-211.93125,0.0,top
AM1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,307.18125,-211.93125,0.0,top
C1,10u,C_0402_1005Metric,310.23,-143.050002,90.0,top
C2,10u,C_0402_1005Metric,311.53,-143.05,90.0,top
D1,B5819W,D_SOD-123,313.430001,-141.650001,-90.0,top
F1,500mA,Fuse_0603_1608Metric,310.530001,-139.550003,180.0,top
FB1,100 @ 100 MHz,L_0805_2012Metric,308.53,-142.250002,90.0,top
J1,QWIIC,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,254.79375,-164.30625,90.0,top
LDO1,AMS1117-3.3,SOT-223-3_TabPin2,310.93,-148.650002,-90.0,top
R1,2k2,R_0402_1005Metric,258.73,-162.3,90.0,top
R2,2k2,R_0402_1005Metric,258.73,-164.31,-90.0,top
U2,GH39FKSW,SOT-23,274.72,-258.05,-135.0,top
U3,GH39FKSW,SOT-23,303.292087,-258.052913,-135.0,top
U4,GH39FKSW,SOT-23,322.342087,-248.527913,-135.0,top
U5,GH39FKSW,SOT-23,303.292087,-239.002913,-135.0,top
U6,GH39FKSW,SOT-23,284.242087,-239.002913,-135.0,top
U7,GH39FKSW,SOT-23,265.192087,-239.002913,135.0,top
U8,GH39FKSW,SOT-23,265.192087,-219.952913,135.0,top
U9,GH39FKSW,SOT-23,284.242087,-219.952913,-135.0,top
U10,GH39FKSW,SOT-23,303.292087,-219.952913,-135.0,top
U11,GH39FKSW,SOT-23,322.342087,-210.427913,45.0,top
U12,GH39FKSW,SOT-23,303.292087,-200.902913,45.0,top
U13,GH39FKSW,SOT-23,284.242087,-200.902913,45.0,top
U14,GH39FKSW,SOT-23,265.192087,-200.902913,45.0,top
U15,GH39FKSW,SOT-23,265.192087,-181.852913,45.0,top
U16,GH39FKSW,SOT-23,284.242087,-181.852913,45.0,top
U17,GH39FKSW,SOT-23,303.292087,-181.852913,45.0,top
U18,GH39FKSW,SOT-23,322.342087,-181.852913,45.0,top
